ACCOUNT_ID,COMPANY_TYPE,TERRITORY,BUSINESS_REGION,FIRST_PURCHASE_MONTH
1233z00002pPIxYAAX,MSP,-,,5/1/2021
1233z00002OuDV3AAO,MSP,Trinidad And Tobago,,12/1/2018
1233z00002tEWJ1AAP,MSP,Other,,9/1/2021
123D000002IVK3DIAY,MSP,Isle Of Man,,9/1/2017
1233z00002mLGsLAAX,MSP,Bosnia And Herzegovina,,1/1/2021
123D000001sJEaBIAX,MSP,Trinidad And Tobago,,2/1/2015
1233z00002RjayQAAS,IT Department,Sint Maarten (Dutch Part),,2/1/2019
1233z00002oPsMFAA1,MSP,Moldova (Republic Of),,3/1/2021
1233z00002tlyV8AAJ,IT Department,"Korea, Republic Of",,9/1/2021
1233z00002oOZsuAAH,IT Consultant,Sint Maarten (Dutch Part),,8/1/2021
1233z00002hng3eAAB,IT Consultant,Argentina,ROW,1/1/2021
123D000002IUCwlIAI,MSP,Argentina,ROW,8/1/2017
1233z00002licbaAAB,MSP,Argentina,ROW,11/1/2020
1233z00002PZ5Z3AAM,MSP,Argentina,ROW,12/1/2018
1233z00002dhabKAAR,,Argentina,ROW,12/1/2019
1233z00002lhSgNAAV,MSP,Argentina,ROW,12/1/2020
1233z00002XglE5AAK,IT Department,Argentina,ROW,10/1/2019
1233z00002nFFMkAAP,MSP,Argentina,ROW,1/1/2021
1233z00002iXpzqAAD,MSP,Argentina,ROW,7/1/2020
123D000002DIR5bIAI,MSP,Argentina,ROW,3/1/2017
1233z00002SNsj6AAE,MSP,Argentina,ROW,3/1/2019
1233z00002iWRqAAAX,IT Department,Argentina,ROW,7/1/2020
1233z00002WjOM8AAO,IT Consultant,Australia,ROW,8/1/2019
1233z00002lgfzCAAR,MSP,Australia,ROW,11/1/2020
1233z00002pspZPAAZ,MSP,Australia,ROW,5/1/2021
1233z00002LGRZUAA6,MSP,Australia,ROW,1/1/2018
1233z00002VEsEwAAM,MSP,Australia,ROW,6/1/2019
123D000001uHb9iIAD,MSP,Australia,ROW,6/1/2015
1233z00002nH3IFAA1,MSP,Australia,ROW,2/1/2021
1233z00002kdhAEAAZ,MSP,Australia,ROW,10/1/2020
1233z00002VF3IyAAM,MSP,Australia,ROW,7/1/2019
1233z00002ep5U5AAJ,IT Department,Australia,ROW,2/1/2020
1233z00002LFcE4AAM,MSP,Australia,ROW,1/1/2018
1233z00002U8HDmAAO,MSP,Australia,ROW,6/1/2019
1233z00002M5qNUAAA,MSP,Australia,ROW,5/1/2018
1233z00002ObxIvAAK,MSP,Australia,ROW,12/1/2018
1233z00002XkAuaAAG,MSP,Australia,ROW,10/1/2019
1233z00002tDPpvAAH,MSP,Australia,ROW,9/1/2021
1233z00002ptn93AAB,IT Consultant,Australia,ROW,5/1/2021
1233z00002sXqGiAAL,MSP,Australia,ROW,8/1/2021
1233z00002di58FAAR,,Australia,ROW,12/1/2019
1233z00002Sj0IkAAK,MSP,Australia,ROW,3/1/2019
1233z00002fLSHyAAP,IT Consultant,Australia,ROW,2/1/2020
123D00000231PCSIA3,MSP,Australia,ROW,3/1/2016
1233z00002ZdzKiAAK,,Australia,ROW,2/1/2020
1233z00002U8OwtAAG,IT Department,Australia,ROW,6/1/2019
123D000002AnggJIAS,MSP,Australia,ROW,12/1/2016
1233z00002g4RlBAAV,IT Department,Australia,ROW,3/1/2020
123D000002354bGIAR,MSP,Australia,ROW,9/1/2016
123D000002GqZ4BIAW,MSP,Australia,ROW,6/1/2017
1233z00002jB4ZiAAL,IT Consultant,Australia,ROW,7/1/2020
1233z00002VBaBmAAM,MSP,Australia,ROW,7/1/2019
1233z00002eCu5aAAD,IT Department,Australia,ROW,12/1/2019
1233z00002rArbCAAT,IT Consultant,Australia,ROW,9/1/2021
123D0000027eaaeIAB,MSP,Australia,ROW,11/1/2016
1233z00002Rlb6pAAC,MSP,Australia,ROW,3/1/2019
1233z00002eCs6hAAD,,Australia,ROW,12/1/2019
123D000001qafA2IAJ,MSP,Australia,ROW,1/1/2015
1233z00002PatwWAAS,MSP,Australia,ROW,12/1/2018
123D000001x8K1XIAV,MSP,Australia,ROW,8/1/2015
123D000001sIspYIAT,MSP,Australia,ROW,2/1/2015
1233z00002KqIvrAAG,MSP,Australia,ROW,1/1/2018
1233z00002MuteqAAC,MSP,Australia,ROW,8/1/2018
1233z00002MMjMgAAM,MSP,Australia,ROW,6/1/2018
1233z00002pLPezAAH,IT Department,Australia,ROW,4/1/2021
1233z00002eCwJyAAL,MSP,Australia,ROW,1/1/2020
1233z00002ShwciAAC,,Australia,ROW,12/1/2019
123D000001scY80IAF,MSP,Australia,ROW,3/1/2015
1233z00002eCsCYAA1,MSP,Australia,ROW,1/1/2020
1233z00002gfSTDAA3,IT Department,Australia,ROW,5/1/2020
1233z00002jB1ugAAD,MSP,Australia,ROW,8/1/2020
123D000002KGrjSIAU,MSP,Australia,ROW,11/1/2017
1233z00002WkJnrAAG,MSP,Australia,ROW,9/1/2019
123D000001y1zWSIAZ,MSP,Australia,ROW,8/1/2015
1233z00002sXLc4AAH,IT Department,Australia,ROW,8/1/2021
1233z00002Le5EYAAA,MSP,Australia,ROW,2/1/2018
123D000002J1euaIAC,IT Department,Australia,ROW,8/1/2017
1233z00002KsEU8AAO,MSP,Australia,ROW,1/1/2018
123D000002JoOI0IAO,IT Department,Australia,ROW,10/1/2017
1233z00002WnLjlAAG,MSP,Australia,ROW,8/1/2019
1233z00002hlONFAA3,IT Department,Australia,ROW,6/1/2020
1233z00002pNkavAAD,IT Consultant,Australia,ROW,5/1/2021
1233z00002hoCEaAAN,MSP,Australia,ROW,6/1/2021
1233z00002TRCv6AAI,IT Consultant,Australia,ROW,4/1/2019
1233z00002UEfBRAA2,MSP,Australia,ROW,6/1/2019
1233z00002LFUHFAA6,IT Department,Australia,ROW,11/1/2020
1233z00002gdiD8AAJ,IT Department,Australia,ROW,4/1/2020
1233z00002g6GiSAAV,IT Consultant,Australia,ROW,3/1/2020
1233z00002M2Ua6AAG,MSP,Australia,ROW,3/1/2018
1233z00002nFr0rAAD,MSP,Australia,ROW,12/1/2020
1233z00002s10nPAAR,IT Consultant,Australia,ROW,8/1/2021
1233z00002nIx06AAD,IT Consultant,Australia,ROW,2/1/2021
1233z00002sWh78AAD,MSP,Australia,ROW,8/1/2021
1233z00002rHfNxAAL,MSP,Australia,ROW,8/1/2021
1233z00002WHLF1AAQ,IT Consultant,Australia,ROW,7/1/2019
123D0000024QTiUIAX,IT Department,Australia,ROW,5/1/2016
1233z00002g8Fe9AAF,MSP,Australia,ROW,3/1/2020
1233z00002iWCIcAAP,IT Department,Australia,ROW,6/1/2020
1233z00002fO7coAAD,MSP,Australia,ROW,3/1/2020
123D00000225GzUIAV,MSP,Australia,ROW,2/1/2016
123D0000025zLPdIAN,MSP,Australia,ROW,7/1/2016
1233z00002QkKC6AAO,IT Department,Australia,ROW,1/1/2019
123D0000027e9i1IAB,MSP,Australia,ROW,8/1/2016
1233z00002oQ8dMAAT,IT Department,Australia,ROW,3/1/2021
1233z00002WjpAoAAK,IT Department,Australia,ROW,8/1/2019
1233z00002k7Gh5AAF,IT Department,Australia,ROW,10/1/2020
123D000001tEdnKIAT,MSP,Australia,ROW,7/1/2015
123D000002BBndYIAU,MSP,Australia,ROW,1/1/2017
1233z00002NIZU9AAQ,MSP,Australia,ROW,9/1/2018
1233z00002ntTqRAAV,IT Department,Australia,ROW,2/1/2021
1233z00002j8MpiAAF,MSP,Australia,ROW,1/1/2021
