ACCOUNT_ID,CHURN_MONTH,MAIN_CHURN_REASON
1233z00002ZGENuAAQ,11/1/2019,Support
1233z00002TRM2aAAI,11/1/2019,Business
1233z00002UEPUGAA6,2/1/2020,Product
123D000002Fa609IAC,7/1/2020,Product
1233z00002mL3GBAA1,12/1/2020,Support
1233z00002eqSd5AAF,5/1/2021,Price
1233z00002TpxdVAAS,12/1/2020,Other
1233z00002nJ1fUAAT,5/1/2021,Product
1233z00002VBHzBAAY,1/1/2020,Business
1233z00002OE8xFAAU,5/1/2021,Other
1233z00002fLj6NAAT,1/1/2021,Product
1233z00002PbHXPAA4,1/1/2021,Business
1233z00002WHTfDAAY,8/1/2021,Product
1233z00002WHTfDAAY,8/1/2021,Price
1233z00002Tt1gMAAS,7/1/2021,Business
1233z00002WnLKrAAO,9/1/2020,Business
1233z00002eoEriAAF,7/1/2020,Business
1233z00002pO9ZiAAL,5/1/2021,Product
1233z00002fKxISAA1,9/1/2020,Business
123D0000027ehGPIAZ,10/1/2020,Product
1233z00002puI63AAF,7/1/2021,Product
1233z00002VEY1SAAY,3/1/2021,Business
1233z00002gcv4pAAB,9/1/2020,Business
1233z00002PZ0pBAAU,8/1/2021,Price
1233z00002liJ4IAAV,12/1/2020,Product
123D000002FY3gBIAU,2/1/2021,Product
1233z00002OuNG9AAO,5/1/2021,Price
1233z00002hJBjVAAX,5/1/2021,Other
123D000002BCsigIAE,3/1/2021,Product
1233z00002nHBHIAA5,7/1/2021,Price
123D000001vmoD5IAJ,10/1/2020,Product
123D000002IVVyBIAY,11/1/2019,Business
1233z00002mJTKFAA5,7/1/2021,Business
1233z00002eDwYKAA1,12/1/2020,Price
1233z00002dl3AzAAJ,9/1/2020,Other
1233z00002SgvmSAAS,4/1/2020,Other
1233z00002lhLP8AAN,3/1/2021,Product
1233z00002hnibDAAR,10/1/2020,Other
1233z00002en0hiAAB,1/1/2020,Product
1233z00002oPCmHAAX,8/1/2021,Business
1233z00002jAnEqAAL,7/1/2021,Product
1233z00002nIayVAAT,6/1/2021,Price
1233z00002hlKsUAAV,6/1/2021,Business
1233z00002kfWGuAAN,11/1/2020,Price
1233z00002XirhqAAC,8/1/2020,Price
1233z00002mJTKFAA5,7/1/2021,Product
1233z00002ZEqnhAAE,8/1/2021,Business
1233z00002LhOOWAA4,4/1/2021,Business
1233z00002TsCExAAO,1/1/2021,Product
1233z00002gfxfxAAB,5/1/2021,Price
123D000002BCsigIAE,3/1/2021,Price
123D000001q5jziIAB,12/1/2020,Business
1233z00002geki6AAB,11/1/2020,Business
1233z00002eDR2LAAX,1/1/2021,Price
1233z00002MMfZUAA2,7/1/2020,Other
1233z00002RLa6aAAE,3/1/2020,Price
1233z00002U9lNqAAK,10/1/2019,Business
1233z00002jT0gjAAD,10/1/2020,Other
1233z00002jT3hkAAD,6/1/2021,Business
1233z00002WGoNyAAM,3/1/2020,Business
1233z00002Yaq70AAC,11/1/2020,Product
1233z00002emvB6AAJ,7/1/2020,Business
1233z00002g5fdmAAB,1/1/2021,Product
1233z00002fKoCVAA1,5/1/2020,Business
123D0000011jbyiIAB,10/1/2020,Business
123D000002G4YHyIAO,4/1/2021,Product
1233z00002Trb3JAAS,7/1/2021,Business
1233z00002Ot3KDAAA,6/1/2021,Product
1233z00002Nu789AAC,9/1/2020,Business
1233z00002ZhkVMAAA,8/1/2021,Other
1233z00002iWRqAAAX,7/1/2021,Business
1233z00002WGRCzAAQ,12/1/2020,Product
1233z00002WGRCzAAQ,12/1/2020,Support
1233z00002TRoTwAAM,6/1/2020,Price
1233z00002oQsviAAD,9/1/2021,Business
1233z00002UEXsWAAY,3/1/2020,Support
1233z00002hKutVAAT,7/1/2020,Price
1233z00002hKutVAAT,10/1/2020,Price
1233z00002WIC1vAAI,5/1/2021,Price
1233z00002j8DNkAAN,5/1/2021,Business
1233z00002j8DNkAAN,5/1/2021,Product
1233z00002hKLziAAH,10/1/2020,Product
1233z00002Ot9cSAAS,1/1/2020,Business
1233z00002gcQyOAAV,12/1/2020,Business
1233z00002kc39LAAR,8/1/2021,Product
1233z00002OtABDAA4,11/1/2019,Price
1233z00002eo3RUAAZ,7/1/2020,Business
1233z00002Tt2aiAAC,8/1/2021,Business
1233z00002TsmHNAAA,6/1/2021,Product
1233z00002g53A5AAJ,4/1/2020,Product
1233z00002WmswFAAS,4/1/2021,Product
1233z00002liJmgAAF,6/1/2021,Business
1233z00002hIFhlAAH,5/1/2021,Other
1233z00002LyQdcAAG,1/1/2021,Product
123D000001q5uRwIAJ,4/1/2021,Other
123D000002CTEmAIAY,1/1/2021,Business
1233z00002WHbRHAA2,12/1/2020,Business
1233z00002djDYmAAN,11/1/2020,Business
1233z00002WJ1hRAAU,9/1/2020,Price
1233z00002oQA7hAAH,8/1/2021,Price
1233z00002mLyM0AAL,1/1/2021,Product
1233z00002ML6dNAAU,10/1/2020,Business
123D000002DIeyUIAU,10/1/2019,Price
1233z00002OwSZoAAO,2/1/2020,Business
1233z00002Mr54lAAC,4/1/2020,Business
1233z00002eq0kQAAR,3/1/2020,Business
1233z00002SM7igAAE,7/1/2020,Other
1233z00002emh3eAAB,1/1/2021,Other
1233z00002Ot3ixAAC,5/1/2020,Price
123D000001vpYWtIAN,10/1/2019,Product
1233z00002OFQ7XAAY,12/1/2019,Business
1233z00002li9H0AAJ,3/1/2021,Business
1233z00002gdhmzAAB,5/1/2021,Price
1233z00002Si31FAAS,5/1/2021,Price
1233z00002eqorfAAB,7/1/2020,Product
1233z00002ZHUe6AAI,3/1/2021,Price
1233z00002ZeAcgAAG,2/1/2021,Price
1233z00002eojstAAB,8/1/2021,Product
123D000001qbWCHIA3,5/1/2020,Other
1233z00002Zel8fAAC,9/1/2020,Business
1233z00002geWjMAAV,5/1/2020,Product
1233z00002hJM8rAAH,6/1/2020,Product
123D000002261SlIAJ,9/1/2020,Business
1233z00002PcNRlAAO,11/1/2020,Business
1233z00002j8kmkAAB,3/1/2021,Business
1233z00002rAnXzAAL,8/1/2021,Price
1233z00002OE27CAAU,8/1/2021,Business
1233z00002WK9N1AAM,10/1/2020,Product
1233z00002OFJ5eAAI,2/1/2020,Support
1233z00002eCa7cAAD,4/1/2020,Product
1233z00002lGDOIAA5,6/1/2021,Business
123D000001x4ceZIAR,5/1/2021,Business
1233z00002SghX1AAK,1/1/2021,Product
1233z00002U7aTBAAA,12/1/2019,Business
1233z00002Q7xJGAAA,10/1/2020,Business
1233z00002NhTKAAA4,5/1/2021,Price
1233z00002ho66EAAR,11/1/2020,Product
1233z00002hIExoAAH,2/1/2021,Product
1233z00002dhoS9AAJ,12/1/2019,Product
1233z00002dhoS9AAJ,12/1/2019,Support
1233z00002VC48BAAU,10/1/2020,Business
1233z00002MuCLbAAO,2/1/2021,Other
1233z00002epzrGAAR,6/1/2020,Business
123D000002KF6wvIAE,8/1/2021,Product
1233z00002M2uAzAAK,12/1/2020,Business
123D000002J16pqIAC,4/1/2020,Business
1233z00002LGusZAAU,11/1/2020,Support
1233z00002VCTo3AAI,3/1/2020,Product
1233z00002LH4gzAAE,2/1/2020,Other
123D000002ACFaLIAY,8/1/2021,Product
1233z00002hmFA0AAN,8/1/2020,Other
1233z00002jV8skAAD,9/1/2021,Price
1233z00002oQjk4AAD,5/1/2021,Price
1233z00002OtVLUAA4,7/1/2021,Business
1233z00002ODpxEAAU,9/1/2020,Product
123D000002Jpo4PIAS,7/1/2020,Business
1233z00002djxrGAAR,10/1/2020,Product
1233z00002mL6duAAD,2/1/2021,Product
123D0000024Nt5qIAD,8/1/2021,Business
123D0000024P4RoIAL,5/1/2020,Product
1233z00002MuVa8AAG,11/1/2019,Product
1233z00002iWKkKAAX,1/1/2021,Business
123D0000021Wb6uIAD,6/1/2021,Business
1233z00002M5XHoAAO,7/1/2021,Price
1233z00002RNbIaAAM,8/1/2020,Price
1233z00002M3KiLAAW,7/1/2020,Product
1233z00002lFBB4AAP,12/1/2020,Price
123D00000232mrlIAB,6/1/2020,Business
123D000001sJEaBIAX,6/1/2020,Product
123D000001ykaQ5IAJ,1/1/2021,Business
1233z00002di0KnAAJ,9/1/2020,Business
1233z00002fMiYiAAL,4/1/2020,Business
1233z00002PcTIzAAO,3/1/2020,Business
123D00000224yyCIAR,8/1/2020,Business
1233z00002YZrKfAAM,4/1/2021,Price
1233z00002OcJ31AAG,5/1/2020,Business
1233z00002MYoUxAAM,10/1/2019,Product
1233z00002U8xIBAAA,3/1/2021,Other
1233z00002kfGSXAA3,6/1/2021,Product
1233z00002LEnXbAAM,11/1/2020,Support
1233z00002RNNsHAAY,2/1/2020,Business
1233z00002lDLvtAAH,12/1/2020,Business
1233z00002OcqD7AAK,1/1/2021,Business
1233z00002RNKcAAAY,7/1/2020,Business
1233z00002KvAEvAAO,8/1/2021,Business
1233z00002Nir1QAAS,3/1/2021,Product
1233z00002MMuhyAAE,2/1/2020,Product
1233z00002fMVnaAAH,11/1/2020,Business
1233z00002fKZS4AAP,4/1/2020,Price
1233z00002ZeY5rAAG,3/1/2020,Product
1233z00002g4n4GAAR,3/1/2021,Business
1233z00002Wm7pqAAC,8/1/2021,Other
1233z00002PbiU1AAK,1/1/2021,Price
1233z00002hnb0BAAR,7/1/2020,Support
1233z00002nFluaAAD,1/1/2021,Product
1233z00002lFg79AAD,7/1/2021,Price
1233z00002LmWQYAA4,5/1/2020,Business
1233z00002XjnpmAAC,4/1/2020,Business
1233z00002k68wGAAR,4/1/2021,Price
123D0000023eYkVIAV,8/1/2020,Business
123D000002EreomIAC,7/1/2021,Product
1233z00002djVQLAA3,7/1/2020,Price
1233z00002WIms3AAE,12/1/2020,Business
1233z00002nHwVuAAL,2/1/2021,Price
1233z00002g4jmPAAR,2/1/2021,Business
123D000002324FbIAJ,10/1/2020,Other
1233z00002mLSPzAAP,3/1/2021,Product
1233z00002Nur8OAAS,11/1/2020,Business
123D000001tGFrRIAX,9/1/2020,Support
